Player,Offense,Defense,Ovr,OffTO_multiplied,OReb_multiplied,OTS_multiplied,DefTO_multiplied,DReb_multiplied,DTS_multiplied,season1,season2
Dewayne Dedmon,-0.39,2.02,1.63,-1.37,0.05,0.83,-0.17,0.91,1.29,2016,2018
Tony Allen,-0.34,1.96,1.61,0.41,0.86,-1.37,1.84,-0.55,0.96,2016,2018
Khem Birch,0.92,0.68,1.6,0.47,0.47,-0.26,0.11,0.26,0.22,2016,2018
Ekpe Udoh,0.06,1.52,1.58,0.11,-1.17,1.13,1.1,0.21,0.13,2016,2018
Derrick Jones Jr.,0.14,1.41,1.54,0.39,0.41,-0.71,-0.38,0.04,1.6,2016,2018
DeMarcus Cousins,1.87,-0.36,1.52,-0.98,0.27,2.45,0.55,0.96,-1.83,2016,2018
Manu Ginobili,1.98,-0.48,1.51,-0.66,1.37,1.54,0.69,-0.83,-0.26,2016,2018
Lou Williams,4.37,-2.89,1.49,0.32,0.92,3.68,-0.63,-1.07,-1.27,2016,2018
Steven Adams,1.09,0.39,1.48,-0.7,2.7,-0.77,-0.43,0.65,0.13,2016,2018
John Henson,0.48,0.99,1.47,-0.52,0.35,0.43,-0.53,0.37,1.36,2016,2018
Eric Bledsoe,1.94,-0.48,1.46,0.26,0.23,1.5,0.76,-0.3,-0.84,2016,2018
Danny Green,0.03,1.41,1.44,0.49,0.34,-0.78,-0.34,-0.15,2.1,2016,2018
Beno Udrih,0.17,1.27,1.43,-0.24,-0.2,0.74,-0.28,0.54,0.95,2016,2018
CJ Miles,1.56,-0.14,1.42,1.15,-0.55,0.48,0.47,-1.04,0.39,2016,2018
Mario Chalmers,0.1,1.32,1.42,-0.29,0.37,-0.01,1.91,-0.57,-0.19,2016,2018
Kelly Olynyk,1.27,0.11,1.39,-0.39,-0.86,2.36,0.75,0,-0.78,2016,2018
Timothe Luwawu-Cabarrot,-0.72,2.09,1.37,-0.09,0.16,-0.54,0.51,-0.11,1.6,2016,2018
Shawn Long,1.9,-0.53,1.37,0.45,0.66,0.59,-0.14,-0.33,-0.22,2016,2018
JaKarr Sampson,-0.66,2.02,1.35,0.19,-0.09,-0.7,0.19,-0.07,1.9,2016,2018
Lorenzo Brown,-0.03,1.38,1.35,-0.37,-0.05,0.49,0.01,0.24,0.93,2016,2018
Joe Ingles,1.97,-0.62,1.35,-0.26,0.07,2,0.39,0.21,-0.98,2016,2018
Julyan Stone,0.45,0.89,1.34,0.19,-0.39,0.69,-0.06,0.27,0.53,2016,2018
Serge Ibaka,0.31,0.99,1.29,-0.01,-0.66,1.11,-1.25,0.87,1.29,2016,2018
Josh Hart,1.77,-0.47,1.29,-0.32,0.73,1.1,0,-0.35,0.05,2016,2018
Tyler Ennis,-1.04,2.32,1.29,-0.26,-0.26,-0.43,0.66,0.72,0.75,2016,2018
Alec Peters,0.93,0.35,1.27,0.71,-0.24,0.44,-0.44,0.41,0.24,2016,2018
Tobias Harris,1.73,-0.49,1.24,0.38,-0.21,1.64,-0.34,0.6,-0.63,2016,2018
Rodney McGruder,1.66,-0.42,1.24,0.4,1.11,0.05,0.19,-0.22,-0.47,2016,2018
Derrick White,-0.08,1.32,1.23,-0.09,0.02,-0.03,0.63,-0.21,1.11,2016,2018
Thabo Sefolosha,-0.43,1.65,1.22,0.09,-0.32,-0.2,0.96,0.61,0.37,2016,2018
Malcolm Brogdon,1.45,-0.23,1.22,0.64,0.18,0.71,-0.16,-0.18,-0.04,2016,2018
Chris McCullough,0.95,0.26,1.21,0.02,0.38,0.42,0.11,-0.18,0.38,2016,2018
Frank Mason III,0.86,0.34,1.21,0.23,0.3,0.33,0.75,-0.25,-0.09,2016,2018
Ryan Anderson,1.49,-0.34,1.15,-0.13,-0.71,2.1,-0.45,1.14,-1.07,2016,2018
Montrezl Harrell,1.83,-0.68,1.15,-0.12,0.66,1.37,-0.2,-1.25,0.68,2016,2018
Marc Gasol,0.68,0.42,1.1,0.1,-0.66,1.25,-0.47,0.72,0.15,2016,2018
Justise Winslow,-1.21,2.29,1.08,0.49,-0.35,-1.13,-0.03,0.54,1.8,2016,2018
Cedi Osman,1.94,-0.86,1.08,0.32,0.09,1.35,0.13,0.36,-1.22,2016,2018
Ricky Rubio,-0.25,1.31,1.06,0.17,-0.45,0.14,0.97,-0.03,0.42,2016,2018
Reggie Bullock Jr.,0.38,0.68,1.05,0.68,-0.65,0.33,-0.28,0.76,0.33,2016,2018
Mirza Teletovic,-0.3,1.36,1.05,-0.34,-0.69,0.81,0.06,-0.17,1.43,2016,2018
Nikola Vucevic,-0.83,1.87,1.04,0.04,-1.1,0.12,0.15,1.13,0.48,2016,2018
Pat Connaughton,1.27,-0.25,1.03,0,0.55,0.73,-1.2,0.33,0.63,2016,2018
Goran Dragic,2.02,-1.03,0.99,0.23,0.28,1.5,0.24,-0.55,-0.4,2016,2018
Alex Caruso,-0.53,1.5,0.97,-0.06,-0.38,-0.24,0.79,0.08,0.62,2016,2018
Carmelo Anthony,1.84,-0.88,0.96,0.66,2.31,-0.98,-0.41,-0.21,-0.37,2016,2018
Jae Crowder,0.83,0.12,0.95,0.95,-1.06,0.82,0.45,-0.42,0.12,2016,2018
Quincy Acy,1.17,-0.24,0.93,-0.45,-0.7,1.98,0.34,-0.48,-0.04,2016,2018
DeAndre Jordan,-0.03,0.95,0.92,-0.2,1.6,-1.27,-1.37,1.37,0.89,2016,2018
Davis Bertans,-0.38,1.29,0.91,-0.06,-0.64,0.21,0.49,0.07,0.7,2016,2018
Terrence Ross,1.89,-0.98,0.91,1.1,-0.77,1.6,0.19,-0.54,-0.61,2016,2018
Damion Lee,-0.04,0.95,0.91,0.89,-0.24,-0.43,-0.41,0.79,0.44,2016,2018
Frank Ntilikina,-1.5,2.39,0.89,-0.22,-0.31,-0.74,1.01,-0.1,1.37,2016,2018
Kentavious Caldwell-Pope,0.87,0.01,0.88,1.33,0.47,-0.77,-0.06,0.08,0.08,2016,2018
Jeremy Lamb,2.13,-1.26,0.88,1.04,-0.02,1.07,-0.97,0.24,-0.17,2016,2018
Antonio Blakeney,1.34,-0.49,0.85,0.8,0.12,0.48,-0.41,0.05,0,2016,2018
Hassan Whiteside,-0.59,1.44,0.85,-0.53,1.02,-0.97,-1.64,0.77,1.8,2016,2018
Skal Labissiere,0.9,-0.07,0.84,-0.04,0.04,0.98,-0.23,0.11,0.1,2016,2018
Andre Ingram,0.29,0.55,0.83,-0.19,-0.19,0.7,0.25,0.18,0.09,2016,2018
Andrew Wiggins,2.42,-1.61,0.82,0.74,1.63,0.12,-0.28,-0.81,-0.46,2016,2018
Langston Galloway,-0.82,1.63,0.81,0.49,-0.76,-0.86,0.26,-0.04,1.54,2016,2018
Gian Clavell,0.12,0.69,0.81,0.02,-0.25,0.42,0.44,0.06,0.11,2016,2018
Taj Gibson,0.32,0.48,0.81,0.37,1.22,-0.93,0.1,0.28,0.16,2016,2018
Jabari Bird,0.69,0.1,0.8,-0.23,0.36,0.44,0.07,0.24,-0.1,2016,2018
Jeff Green,-0.25,1.04,0.79,0.56,-0.16,-0.68,-0.06,-1.14,2.4,2016,2018
Devin Booker,1.57,-0.78,0.79,-1.02,0.66,1.98,-0.44,-0.5,-0.04,2016,2018
Dwayne Bacon,-0.12,0.9,0.78,0.27,-0.1,-0.32,-0.42,0.7,0.66,2016,2018
MarShon Brooks,1.71,-0.95,0.76,0.21,0.38,0.89,0.48,-0.51,-0.77,2016,2018
Isaiah Taylor,0.77,-0.03,0.74,-0.36,0.11,0.99,-0.69,0.45,0.42,2016,2018
Leandro Barbosa,0.52,0.2,0.72,0.12,-0.22,1.03,0.33,-0.07,-0.17,2016,2018
Damien Wilkins,0.81,-0.1,0.71,-0.08,0.39,0.37,-0.08,-0.12,0.03,2016,2018
Christian Wood,-0.14,0.84,0.7,-0.42,0.21,-0.09,-0.13,-0.05,0.96,2016,2018
Travis Wear,0.18,0.52,0.69,0.35,-0.12,0,-0.17,0.53,0.01,2016,2018
Dakari Johnson,-0.85,1.52,0.66,-0.27,0.12,-0.7,0.64,0.27,0.62,2016,2018
Chris Andersen,0.84,-0.18,0.66,-0.04,-0.08,0.92,0.22,-0.5,0.17,2016,2018
Jeremy Lin,0.11,0.55,0.66,-0.08,-0.14,0.3,0.12,0,0.14,2016,2018
Matt Williams Jr.,0.19,0.47,0.66,0.05,-0.02,0.21,0.12,0.09,0.25,2016,2018
David West,-1.98,2.63,0.65,-0.65,-1.34,0.54,-0.4,0.63,1.91,2016,2018
Omari Johnson,1.17,-0.54,0.63,0.28,0.13,0.8,-0.03,-0.17,-0.4,2016,2018
Josh Richardson,-0.3,0.91,0.62,0.15,0.07,-0.64,0.75,0.29,0.04,2016,2018
Ryan Kelly,-0.36,0.97,0.6,0.1,-0.19,-0.18,0.04,0.05,0.8,2016,2018
Tyreke Evans,0.66,-0.08,0.58,0.19,0.34,-0.06,0.13,-0.45,0.47,2016,2018
Luol Deng,-0.88,1.46,0.58,-0.23,-0.11,-0.7,-0.3,0.11,1.42,2016,2018
Michael Carter-Williams,-0.23,0.8,0.57,0.21,0.98,-1.57,0.92,0.39,-0.57,2016,2018
Nigel Hayes,-0.17,0.73,0.57,0.24,0.29,-0.7,-0.11,0.02,0.78,2016,2018
Shane Larkin,-1.03,1.59,0.56,-0.01,-0.19,-1.04,1.16,0.01,0.44,2016,2018
Willy Hernangomez,-0.27,0.83,0.56,-0.82,0.81,-0.18,0.01,-0.3,0.75,2016,2018
Edy Tavares,0.18,0.35,0.53,0.08,0.07,0.01,-0.18,0.06,0.4,2016,2018
Shaun Livingston,-0.4,0.93,0.53,-0.15,-0.18,0.02,-0.08,-0.28,1.5,2016,2018
Derrick Favors,-0.67,1.19,0.52,-1.15,0.3,0.3,-0.07,1.21,0.19,2016,2018
Vander Blue,-0.11,0.62,0.52,-0.43,0.17,0.11,0.19,0.26,0.09,2016,2018
Matt Costello,0.53,-0.02,0.51,-0.02,-0.07,0.62,0.17,-0.02,-0.14,2016,2018
Milos Teodosic,0.44,0.06,0.5,0.55,-1.17,1.25,-0.62,0.04,0.61,2016,2018
Anthony Tolliver,1.36,-0.87,0.49,0.26,-0.57,1.34,0.09,0.46,-1.36,2016,2018
Jacob Wiley,-0.33,0.82,0.49,-0.02,-0.01,-0.28,0.04,0.25,0.46,2016,2018
Lamar Patterson,-0.11,0.6,0.49,0.04,-0.01,-0.13,-0.07,0.06,0.58,2016,2018
Toney Douglas,0.67,-0.19,0.49,0,0.77,-0.22,0,0.2,-0.54,2016,2018
Paul Pierce,-0.02,0.49,0.47,-0.15,-0.27,0.4,-0.36,0.08,0.79,2016,2018
Michael Beasley,1.27,-0.81,0.46,0.03,0.57,0.88,-0.33,0.06,-0.63,2016,2018
Tyler Zeller,0.14,0.32,0.46,0,0.11,-0.05,-1.34,0.82,0.75,2016,2018
Jonathon Simmons,0.01,0.44,0.46,-1.29,-0.41,1.71,0.35,-0.27,0.35,2016,2018
Bobby Portis,1.95,-1.5,0.45,1.32,0.33,0.24,0.35,-0.12,-1.43,2016,2018
Stanley Johnson,-0.39,0.85,0.45,-0.04,0.39,-0.69,0.44,0.44,0.31,2016,2018
Dirk Nowitzki,1.16,-0.71,0.45,0.98,-2.77,2.56,-1.91,1.69,-0.43,2016,2018
Rondae Hollis-Jefferson,-0.62,1.02,0.4,-0.24,-1.28,0.59,-0.29,0.11,1.15,2016,2018
Jamel Artis,0.14,0.26,0.4,0.65,0.31,-0.87,-0.22,0.35,0.01,2016,2018
Michael Kidd-Gilchrist,-1.2,1.58,0.38,0.83,0.19,-2.15,0.47,0.88,0.43,2016,2018
Jusuf Nurkic,-2.4,2.74,0.34,-1.71,0.88,-1.41,-0.76,1.42,1.96,2016,2018
Andrew Bogut,-3.58,3.92,0.34,-0.88,-0.18,-2.44,0.53,0.77,2.52,2016,2018
Josh Magette,0.27,0.07,0.34,0.26,-0.31,0.4,0.03,0.35,-0.46,2016,2018
Jordan Hill,-0.02,0.36,0.34,-0.03,0.02,0.05,0.13,-0.09,0.33,2016,2018
Kyle Kuzma,0.35,-0.02,0.33,-0.48,0.43,0.3,-0.14,-0.39,0.6,2016,2018
Joel Bolomboy,-0.66,0.99,0.33,-0.07,0.11,-0.8,0.07,0.16,0.56,2016,2018
Markelle Fultz,-0.93,1.25,0.32,0.37,-0.04,-1.09,0.09,-0.18,1.44,2016,2018
Brice Johnson,-0.12,0.43,0.32,-0.2,0.34,-0.35,0.45,0.11,-0.23,2016,2018
Wes Iwundu,-0.87,1.19,0.32,0.42,0.24,-1.59,0.85,0.48,-0.25,2016,2018
Kevon Looney,-0.01,0.32,0.32,-0.41,0.81,-0.56,-0.31,0.34,0.3,2016,2018
Ty Lawson,0.53,-0.21,0.32,-0.15,0.17,0.56,-0.23,-0.35,0.49,2016,2018
Anthony Brown,0.04,0.27,0.31,0.4,0.16,-0.54,-0.03,-0.02,0.26,2016,2018
Jeff Withey,0.63,-0.33,0.31,-0.04,0.1,0.4,-0.54,-0.12,0.37,2016,2018
Marcus Paige,0.33,-0.03,0.29,0.18,0.05,0.1,-0.11,0.07,-0.05,2016,2018
John Jenkins,0.34,-0.06,0.29,0.15,0.11,0.08,-0.01,0,-0.05,2016,2018
Alan Williams,-0.36,0.65,0.28,0.45,0.74,-1.6,-0.11,-0.03,0.91,2016,2018
John Lucas III,0.07,0.19,0.26,0.01,0.03,0.05,0.09,-0.05,0.12,2016,2018
Dillon Brooks,-0.41,0.66,0.25,-0.29,-0.58,0.61,0.29,0.2,0.22,2016,2018
Zach Collins,0.58,-0.34,0.24,-0.15,-0.08,0.99,-1.24,0.21,0.58,2016,2018
Brook Lopez,0.38,-0.15,0.24,-0.36,-0.94,1.54,-1.68,0.99,0.49,2016,2018
Devin Robinson,0.07,0.16,0.23,0.16,0.09,-0.25,0.13,0.08,-0.07,2016,2018
Bam Adebayo,-1.36,1.59,0.23,-0.67,-0.11,-0.66,-0.29,1.05,0.71,2016,2018
Rodney Stuckey,-0.05,0.27,0.23,-0.12,0.3,-0.09,-0.24,-0.08,0.77,2016,2018
Harrison Barnes,-0.65,0.87,0.22,0.56,-1.91,0.4,0.21,0.43,0.23,2016,2018
Bruno Caboclo,-0.6,0.8,0.2,0.2,0.04,-0.87,0.32,0.15,0.32,2016,2018
Dario Saric,0.13,0.07,0.2,-1.31,0.71,0.62,-0.2,0.01,0.31,2016,2018
Robin Lopez,-0.91,1.11,0.2,0.51,-0.26,-1.1,-1.66,1.97,0.69,2016,2018
Jonas Jerebko,1.3,-1.1,0.2,0.13,0.1,0.95,-0.38,-0.34,-0.47,2016,2018
Dion Waiters,-0.83,1.02,0.2,-0.32,-0.47,-0.02,0.3,-0.14,0.68,2016,2018
Jarrett Allen,-0.37,0.57,0.19,-0.98,-0.13,0.76,-0.33,-0.24,1.18,2016,2018
Jamil Wilson,-0.31,0.5,0.18,0.22,-0.18,-0.6,-0.29,0.21,0.67,2016,2018
Justin Patton,0.09,0.08,0.18,0.02,-0.03,0.12,0.08,-0.02,0.03,2016,2018
Vincent Hunter,0.09,0.08,0.16,0.02,0.15,-0.09,0.09,0.02,-0.04,2016,2018
Richard Jefferson,0.13,0.03,0.16,-0.36,-0.07,0.4,-0.68,-0.15,0.68,2016,2018
Kendrick Perkins,0.33,-0.17,0.15,0.01,0.1,0.17,0.1,-0.02,-0.21,2016,2018
Dahntay Jones,0.18,-0.04,0.15,0.12,-0.03,0.05,-0.09,0,0.06,2016,2018
Tiago Splitter,0.26,-0.13,0.13,0.11,0.28,-0.31,-0.04,0.1,-0.25,2016,2018
Tyler Cavanaugh,0.82,-0.7,0.13,0.34,0.61,-0.45,0.42,0.11,-1.24,2016,2018
Cole Aldrich,0.66,-0.54,0.12,-0.32,0.46,0.47,0.41,0.16,-1.21,2016,2018
Jordan Farmar,0.42,-0.3,0.12,0.02,0.02,0.35,0.2,-0.22,-0.14,2016,2018
Xavier Silas,0.16,-0.04,0.12,0.07,0.08,-0.03,0,-0.02,0.04,2016,2018
Tyler Johnson,-0.3,0.41,0.11,0.5,0.37,-1.21,0.39,0.64,-0.58,2016,2018
Frank Kaminsky,1.71,-1.6,0.11,1.88,-1.03,1.06,-0.04,0.84,-2.14,2016,2018
Evan Fournier,0.65,-0.54,0.1,-0.03,0.13,0.58,-0.24,-0.6,0.04,2016,2018
Malcolm Miller,-0.12,0.21,0.1,-0.45,0.34,-0.15,0.05,0.2,-0.04,2016,2018
Nate Wolters,0.14,-0.04,0.1,0.07,0.17,-0.18,0.05,-0.01,-0.04,2016,2018
Jordan Crawford,2.33,-2.25,0.08,0.74,-0.11,1.65,0.07,-0.8,-1.32,2016,2018
Ron Baker,-0.03,0.1,0.08,-0.01,0.46,-0.15,0.94,-0.54,-0.23,2016,2018
Kyle Singler,-1.35,1.43,0.08,0.38,0.05,-1.54,0.19,0.31,0.69,2016,2018
Ryan Arcidiacono,-0.59,0.66,0.07,0.06,-0.37,-0.19,0.43,0.3,-0.11,2016,2018
Luke Babbitt,0.23,-0.16,0.07,0.32,-0.84,0.92,-0.15,-0.24,0.34,2016,2018
Avery Bradley,-0.29,0.34,0.05,0.03,0.32,-0.78,0.9,-0.98,0.32,2016,2018
Mangok Mathiang,-0.09,0.14,0.05,-0.1,0.03,-0.06,-0.07,0.09,0.09,2016,2018
Daniel Theis,-0.11,0.15,0.04,-0.2,0.7,-0.51,0.18,-0.3,0.16,2016,2018
C.J. Williams,0.02,0.03,0.04,-0.11,0.31,-0.36,0,-0.01,0.19,2016,2018
Malcolm Delaney,-0.76,0.79,0.04,0.06,-0.1,-0.65,1.65,-0.61,-0.26,2016,2018
Emeka Okafor,-0.66,0.7,0.04,0.17,0.1,-0.94,0.09,0,0.68,2016,2018
Jacob Pullen,-0.18,0.21,0.03,-0.03,-0.04,-0.08,0.04,-0.01,0.17,2016,2018
Guerschon Yabusele,0.2,-0.18,0.02,-0.4,0.52,-0.13,0.2,0.18,-0.39,2016,2018
Kent Bazemore,-0.04,0.06,0.02,-0.25,-0.35,0.49,0.7,-1.22,0.86,2016,2018
Maurice Ndour,-0.42,0.43,0.01,-0.03,0.08,-0.41,0.78,0.22,-0.53,2016,2018
Monta Ellis,0.53,-0.52,0.01,0.23,-0.19,0.69,0.07,-0.54,-0.27,2016,2018
Iman Shumpert,-0.41,0.41,0.01,0.16,-0.62,0.05,-0.15,-0.71,1.27,2016,2018
Trey McKinney-Jones,0.03,-0.03,0,0.02,-0.01,0.03,-0.02,0.02,-0.02,2016,2018
Glenn Robinson III,-0.72,0.71,0,0.32,-0.14,-0.78,-0.3,0.03,1.03,2016,2018
Tyrone Wallace,-0.44,0.43,-0.01,-0.48,0.26,-0.16,-0.05,-0.14,0.54,2016,2018
Caleb Swanigan,-0.88,0.87,-0.01,-0.56,0.33,-0.75,0.29,0.21,0.3,2016,2018
Kadeem Allen,-0.43,0.41,-0.01,-0.28,0.17,-0.58,0,0.2,0.16,2016,2018
Marshall Plumlee,-0.25,0.23,-0.02,-0.69,0.49,-0.28,-0.02,-0.29,0.33,2016,2018
Jaylen Brown,-1.21,1.19,-0.02,-0.51,0.01,-0.7,0.23,0.56,0.43,2016,2018
Maxi Kleber,-1.16,1.13,-0.03,0.68,-0.35,-1.48,-0.26,0.93,0.6,2016,2018
Mindaugas Kuzminskas,-0.22,0.18,-0.05,-1.17,1.12,-0.3,0.62,-0.57,0.23,2016,2018
Dwight Buycks,-0.88,0.83,-0.05,0.12,-0.15,-0.61,0.38,0,0.57,2016,2018
Milton Doyle,-0.36,0.3,-0.05,0.11,-0.03,-0.52,0.24,0.29,-0.24,2016,2018
Steve Novak,-0.05,0,-0.05,-0.17,0.04,0.07,-0.08,-0.07,0.16,2016,2018
Jameel Warney,0.09,-0.15,-0.05,0.08,0.21,-0.22,-0.08,0.03,-0.13,2016,2018
Deron Williams,-0.44,0.38,-0.06,0.3,-0.99,0.12,0.14,0.33,-0.12,2016,2018
Tony Bradley,-0.14,0.08,-0.07,0.3,0.02,-0.46,0.23,0.06,-0.18,2016,2018
Jarnell Stokes,0.01,-0.08,-0.07,0.05,0.02,-0.09,0,-0.04,0,2016,2018
PJ Dozier,-0.04,-0.03,-0.07,-0.01,0,-0.04,-0.05,-0.02,0.04,2016,2018
Domantas Sabonis,-1.18,1.11,-0.07,-0.84,-0.22,0.1,0.24,0.37,0.46,2016,2018
Chris Boucher,-0.08,0,-0.08,-0.03,-0.01,-0.04,-0.02,0.01,0.04,2016,2018
Nik Stauskas,0.41,-0.49,-0.08,-0.01,-0.05,0.12,-0.66,-0.72,0.56,2016,2018
Myke Henry,0.7,-0.78,-0.08,0.04,0.06,0.59,0.6,-0.31,-1.15,2016,2018
RJ Hunter,-0.56,0.48,-0.09,0.09,-0.05,-0.6,-0.32,0.05,0.66,2016,2018
Gary Neal,-0.23,0.13,-0.1,0.09,0.02,-0.34,0.08,-0.01,0.01,2016,2018
Solomon Hill,-1.06,0.96,-0.1,0.46,-0.9,-0.85,0.01,-0.03,0.67,2016,2018
Wesley Johnson,-2,1.9,-0.1,-0.38,-0.87,-0.81,1.42,0.18,0.46,2016,2018
Matt Barnes,-0.68,0.58,-0.1,0.31,-0.27,-0.75,-0.1,-0.58,1.07,2016,2018
Isaiah Thomas,3.86,-3.97,-0.11,0.51,-0.26,3.4,-0.84,-1.65,-1.59,2016,2018
Marco Belinelli,1.06,-1.17,-0.11,0.42,-0.14,0.63,0.06,-0.94,-0.49,2016,2018
Dorian Finney-Smith,-0.76,0.65,-0.11,0.62,-0.14,-1.45,0.5,-0.16,0.37,2016,2018
Elijah Millsap,-0.27,0.16,-0.12,-0.01,-0.02,-0.2,0.09,-0.05,0.13,2016,2018
Jack Cooley,-0.32,0.2,-0.12,0.12,0.39,-1,-0.04,0.07,0.17,2016,2018
Monte Morris,-0.01,-0.12,-0.13,0.07,-0.11,0.11,0.11,-0.07,-0.13,2016,2018
Kyle Collinsworth,0.49,-0.62,-0.13,0.77,0.81,-1.2,-0.04,0.3,-0.81,2016,2018
Alonzo Gee,-0.03,-0.11,-0.14,0.24,-0.06,-0.15,-0.03,-0.07,0.05,2016,2018
Jawun Evans,-0.37,0.22,-0.15,0.23,-0.42,-0.03,1.01,-0.43,-0.41,2016,2018
Larry Sanders,-0.11,-0.05,-0.16,-0.35,0.04,0.14,-0.11,-0.13,0.18,2016,2018
AJ Hammons,-0.17,0,-0.17,-0.17,0.12,-0.24,-0.07,-0.23,0.43,2016,2018
Pau Gasol,-1,0.84,-0.17,0.35,-0.67,-0.44,-1.09,0.34,1.4,2016,2018
Greivis Vasquez,-0.12,-0.05,-0.17,0.01,-0.06,-0.09,-0.1,-0.01,0.01,2016,2018
Thomas Bryant,-0.09,-0.09,-0.18,0.03,-0.14,0.04,0.08,-0.02,-0.18,2016,2018
Tyler Lydon,-0.01,-0.18,-0.19,0.03,0.02,-0.08,-0.03,-0.03,-0.12,2016,2018
Edmond Sumner,-0.09,-0.1,-0.19,0.03,-0.03,-0.08,0.02,-0.01,-0.09,2016,2018
Jeremy Evans,-0.03,-0.17,-0.2,0,-0.01,-0.01,-0.03,-0.05,-0.07,2016,2018
Trevor Ariza,-0.35,0.15,-0.2,-0.52,-0.48,0.57,0.96,0.17,-0.92,2016,2018
Michael Gbinije,-0.05,-0.16,-0.21,0.33,-0.05,-0.34,-0.07,-0.02,-0.06,2016,2018
Pascal Siakam,0.05,-0.26,-0.21,-0.62,0.13,1.01,0.96,-0.42,-0.79,2016,2018
Darrun Hilliard,-0.01,-0.2,-0.21,0.3,-0.18,-0.01,-0.37,0.09,0.1,2016,2018
Enes Freedom,1.69,-1.9,-0.21,-1.32,2.05,1.24,-1.23,0.55,-1.32,2016,2018
Josh Smith,-0.21,0,-0.21,0.12,0.08,-0.46,0.07,-0.04,-0.04,2016,2018
Adreian Payne,-0.29,0.07,-0.22,0.17,0.25,-0.83,0.52,-0.43,0.07,2016,2018
Reggie Hearn,-0.1,-0.12,-0.22,-0.06,0.08,-0.16,-0.05,-0.02,0.03,2016,2018
Nick Young,1.2,-1.42,-0.22,0.64,-0.43,0.6,-0.13,-0.65,-0.66,2016,2018
Jon Leuer,-1.71,1.49,-0.22,0.29,-0.04,-1.82,-0.49,1.22,0.71,2016,2018
Damyean Dotson,-1.44,1.21,-0.23,-0.29,-0.46,-0.71,0.08,-0.31,1.44,2016,2018
Luis Montero,-0.22,-0.01,-0.23,-0.03,-0.03,-0.11,-0.15,0.1,0,2016,2018
Markieff Morris,-0.76,0.51,-0.25,-0.99,-0.22,0.56,0.01,0.55,-0.21,2016,2018
Lance Stephenson,1,-1.26,-0.26,0.66,0.94,-0.59,0.06,0.03,-1.45,2016,2018
Austin Rivers,1.2,-1.47,-0.27,0.31,0.21,0.27,0.03,-0.21,-1.29,2016,2018
Axel Toupane,-0.29,0.03,-0.27,-0.07,-0.09,-0.08,0.34,-0.27,0.12,2016,2018
Erik McCree,-0.05,-0.22,-0.27,-0.04,0,-0.01,0.07,-0.06,-0.25,2016,2018
Charles Cooke,-0.4,0.13,-0.27,-0.02,0.06,-0.52,-0.01,-0.07,0.25,2016,2018
Terry Rozier,-1.24,0.96,-0.28,0.71,-0.04,-2.07,-0.48,-0.33,1.89,2016,2018
Sasha Vujacic,-1.07,0.79,-0.29,0.05,-0.26,-0.97,0.15,0.16,0.43,2016,2018
Johnathan Motley,-0.36,0.07,-0.29,0.02,0.32,-0.71,-0.25,-0.1,0.35,2016,2018
C.J. Wilcox,-0.34,0.03,-0.3,-0.05,0.07,-0.54,0.13,-0.05,-0.02,2016,2018
Jakob Poeltl,0.11,-0.42,-0.31,-0.42,0.97,-0.64,0.53,-0.27,-1.08,2016,2018
Damian Jones,-0.8,0.49,-0.31,-0.01,-0.11,-0.59,0.67,-0.11,0,2016,2018
Jarell Eddie,-0.68,0.37,-0.31,0.31,-0.18,-0.72,-0.05,0.04,0.42,2016,2018
Mason Plumlee,0.79,-1.11,-0.31,-0.95,0.72,0.99,-0.03,-0.73,-0.14,2016,2018
Dante Cunningham,0.43,-0.76,-0.33,0.31,-0.82,0.72,-0.24,0.6,-0.91,2016,2018
Trey Lyles,-0.35,0.02,-0.33,0.19,0.45,-1.07,-0.52,0.25,0.28,2016,2018
Maurice Harkless,0.63,-0.96,-0.33,-0.85,0.22,1.53,-0.2,-0.3,-0.32,2016,2018
Dwight Powell,0.49,-0.83,-0.33,0.43,-0.08,-0.07,1.1,-0.46,-1.42,2016,2018
Scotty Hopson,-0.2,-0.15,-0.34,-0.07,0.11,-0.29,0.12,-0.03,-0.23,2016,2018
Eric Moreland,-1.75,1.4,-0.35,0.2,-0.45,-1.57,1.5,-0.68,0.74,2016,2018
David Nwaba,0,-0.37,-0.36,-0.31,0.59,-0.13,0.09,0.43,-0.66,2016,2018
Willie Reed,-0.82,0.45,-0.37,0.55,-0.1,-1.14,0.83,-0.53,0.01,2016,2018
Will Barton,0.14,-0.51,-0.37,-0.31,1.13,-0.76,0.12,-0.72,-0.17,2016,2018
Brandon Paul,-1.2,0.83,-0.38,-0.92,-0.11,-0.21,1.12,-0.05,-0.25,2016,2018
Aaron Jackson,-0.3,-0.08,-0.38,-0.03,-0.12,-0.12,-0.09,0.04,-0.06,2016,2018
Shelvin Mack,0.08,-0.46,-0.38,-0.57,0.33,0.08,-0.13,-0.88,0.48,2016,2018
Kyle Korver,0.52,-0.91,-0.39,-0.54,-0.97,2.16,-0.35,-0.37,-0.32,2016,2018
Daniel Hamilton,-0.37,-0.02,-0.39,-0.03,0.04,-0.4,-0.12,-0.02,0.09,2016,2018
Chasson Randle,0.42,-0.82,-0.4,-0.23,0.07,0.61,0.3,-0.43,-0.56,2016,2018
Reggie Jackson,0.23,-0.63,-0.4,0.56,-0.36,-0.02,0.67,0.66,-1.76,2016,2018
